"","genes_GO_full$Gene","genes_GO_full$`GO term accession`"
"1","Zm00001d008862","GO:0009690"
"2","Zm00001d008862","GO:0019139"
"3","Zm00001d008862","GO:0050660"
"4","Zm00001d008862","GO:0016614"
"5","Zm00001d008862","GO:0055114"
"6","Zm00001d008862","GO:0016491"
"7","Zm00001d008862","GO:0003824"
"8","Zm00001d008862","GO:0010229"
"9","Zm00001d051080","GO:0009116"
"10","Zm00001d051080","GO:0016757"
"11","Zm00001d051080","GO:0016740"
"12","Zm00001d051080","GO:0016757"
"13","Zm00001d051080","GO:0016740"
"14","Zm00001d051080","GO:0009116"
"15","Zm00001d051080","GO:0016757"
"16","Zm00001d051080","GO:0016740"
"17","Zm00001d051080","GO:0006168"
"18","Zm00001d051080","GO:0003999"
"19","Zm00001d051080","GO:0009116"
"20","Zm00001d051080","GO:0005737"
"21","Zm00001d051080","GO:0016757"
"22","Zm00001d051080","GO:0016740"
"23","Zm00001d051080","GO:0006168"
"24","Zm00001d051080","GO:0003999"
"25","Zm00001d051080","GO:0009116"
"26","Zm00001d051080","GO:0005737"
"27","Zm00001d051080","GO:0016757"
"28","Zm00001d051080","GO:0016740"
"29","Zm00001d051080","GO:0009116"
"30","Zm00001d051080","GO:0016757"
"31","Zm00001d051080","GO:0016740"
"32","Zm00001d051080","GO:0009116"
"33","Zm00001d051080","GO:0016757"
"34","Zm00001d051080","GO:0016740"
"35","Zm00001d051080","GO:0009116"
"36","Zm00001d051080","GO:0016757"
"37","Zm00001d051080","GO:0016740"
"38","Zm00001d051080","GO:0006168"
"39","Zm00001d051080","GO:0003999"
"40","Zm00001d051080","GO:0009116"
"41","Zm00001d051080","GO:0005737"
"42","Zm00001d051080","GO:0016757"
"43","Zm00001d051080","GO:0016740"
"44","Zm00001d030393","GO:0016021"
"45","Zm00001d030393","GO:0016020"
"47","Zm00001d020418","GO:0055114"
"48","Zm00001d020418","GO:0020037"
"49","Zm00001d020418","GO:0016705"
"50","Zm00001d020418","GO:0005506"
"51","Zm00001d002410","GO:0042546"
"52","Zm00001d002410","GO:0010411"
"53","Zm00001d002410","GO:0048046"
"54","Zm00001d002410","GO:0005618"
"55","Zm00001d002410","GO:0005576"
"56","Zm00001d002410","GO:0006073"
"57","Zm00001d002410","GO:0016762"
"58","Zm00001d002410","GO:0008152"
"59","Zm00001d002410","GO:0005975"
"60","Zm00001d002410","GO:0016798"
"61","Zm00001d002410","GO:0004553"
"62","Zm00001d002410","GO:0071555"
"63","Zm00001d002410","GO:0016740"
"64","Zm00001d002410","GO:0016787"
"65","Zm00001d031044","GO:0046983"
"67","Zm00001d006511","GO:0022857"
"68","Zm00001d006511","GO:0055085"
"69","Zm00001d006511","GO:0016021"
"70","Zm00001d006511","GO:0016020"
"71","Zm00001d006511","GO:0016021"
"72","Zm00001d006511","GO:0016020"
"73","Zm00001d006511","GO:0022857"
"74","Zm00001d006511","GO:0055085"
"75","Zm00001d006511","GO:0016021"
"76","Zm00001d006511","GO:0016020"
"78","Zm00001d006511","GO:0016021"
"79","Zm00001d006511","GO:0016020"
"80","Zm00001d006511","GO:0022857"
"81","Zm00001d006511","GO:0055085"
"82","Zm00001d006511","GO:0016021"
"83","Zm00001d006511","GO:0016020"
"84","Zm00001d048416","GO:0071949"
"85","Zm00001d048416","GO:0004497"
"86","Zm00001d048416","GO:0055114"
"88","Zm00001d040364","GO:0042744"
"89","Zm00001d040364","GO:0006979"
"90","Zm00001d040364","GO:0020037"
"91","Zm00001d040364","GO:0098869"
"92","Zm00001d040364","GO:0004601"
"93","Zm00001d040364","GO:0005576"
"94","Zm00001d040364","GO:0055114"
"95","Zm00001d040364","GO:0016491"
"96","Zm00001d040364","GO:0046872"
"97","Zm00001d021205","GO:0005634"
"98","Zm00001d021205","GO:0006355"
"99","Zm00001d021205","GO:0006351"
"100","Zm00001d021205","GO:0003700"
"101","Zm00001d021205","GO:0003677"
"103","Zm00001d019060","GO:0008152"
"104","Zm00001d019060","GO:0003824"
"105","Zm00001d019060","GO:0016114"
"106","Zm00001d019060","GO:0008661"
"107","Zm00001d019060","GO:0008152"
"108","Zm00001d019060","GO:0003824"
"109","Zm00001d019060","GO:0016114"
"110","Zm00001d019060","GO:0008661"
"114","Zm00001d024664","GO:0019752"
"115","Zm00001d024664","GO:0016831"
"116","Zm00001d024664","GO:0016829"
"117","Zm00001d024664","GO:0006520"
"118","Zm00001d024664","GO:0030170"
"119","Zm00001d024664","GO:0003824"
"121","Zm00001d025005","GO:0004499"
"122","Zm00001d025005","GO:0050661"
"123","Zm00001d025005","GO:0004497"
"124","Zm00001d025005","GO:0050660"
"125","Zm00001d025005","GO:0055114"
"126","Zm00001d025005","GO:0016491"
"127","Zm00001d025005","GO:0004499"
"128","Zm00001d025005","GO:0050661"
"129","Zm00001d025005","GO:0004497"
"130","Zm00001d025005","GO:0050660"
"131","Zm00001d025005","GO:0055114"
"132","Zm00001d025005","GO:0016491"
"135","Zm00001d020395","GO:0016021"
"136","Zm00001d020395","GO:0016020"
"138","Zm00001d020395","GO:0016021"
"139","Zm00001d020395","GO:0016020"
"140","Zm00001d032495","GO:0043086"
"141","Zm00001d032495","GO:0004857"
"143","Zm00001d021291","GO:0000160"
"144","Zm00001d021291","GO:0005634"
"145","Zm00001d021291","GO:0000160"
"146","Zm00001d021291","GO:0005634"
"147","Zm00001d021291","GO:0000160"
"148","Zm00001d021291","GO:0005634"
"149","Zm00001d021291","GO:0000160"
"150","Zm00001d021291","GO:0005634"
"151","Zm00001d021291","GO:0000160"
"152","Zm00001d021291","GO:0005634"
"153","Zm00001d021291","GO:0000160"
"154","Zm00001d021291","GO:0005634"
"157","Zm00001d034783","GO:0003676"
"160","Zm00001d006948","GO:0004497"
"161","Zm00001d006948","GO:0055114"
"162","Zm00001d006948","GO:0016491"
"163","Zm00001d006948","GO:0020037"
"164","Zm00001d006948","GO:0016705"
"165","Zm00001d006948","GO:0005506"
"166","Zm00001d006948","GO:0046872"
"167","Zm00001d043740","GO:0016310"
"168","Zm00001d043740","GO:0016301"
"169","Zm00001d043740","GO:0006468"
"170","Zm00001d043740","GO:0005524"
"171","Zm00001d043740","GO:0004674"
"172","Zm00001d043740","GO:0004672"
"173","Zm00001d043740","GO:0000166"
"177","Zm00001d016948","GO:0016021"
"178","Zm00001d016948","GO:0016020"
"179","Zm00001d018773","GO:0005634"
"180","Zm00001d018773","GO:0006355"
"181","Zm00001d018773","GO:0006351"
"182","Zm00001d018773","GO:0003677"
"183","Zm00001d018819","GO:0051213"
"184","Zm00001d018819","GO:0016702"
"185","Zm00001d018819","GO:0055114"
"186","Zm00001d018819","GO:0046872"
"189","Zm00001d025833","GO:0016021"
"190","Zm00001d025833","GO:0016020"
"192","Zm00001d025833","GO:0016021"
"193","Zm00001d025833","GO:0016020"
"194","Zm00001d025833","GO:0016021"
"195","Zm00001d025833","GO:0016020"
"196","Zm00001d025833","GO:0016021"
"197","Zm00001d025833","GO:0016020"
"200","Zm00001d010284","GO:0016787"
"201","Zm00001d010284","GO:0008152"
"202","Zm00001d052478","GO:0016021"
"203","Zm00001d052478","GO:0016020"
"205","Zm00001d018839","GO:0004497"
"206","Zm00001d018839","GO:0055114"
"207","Zm00001d018839","GO:0016491"
"208","Zm00001d018839","GO:0020037"
"209","Zm00001d018839","GO:0016705"
"210","Zm00001d018839","GO:0005506"
"211","Zm00001d018839","GO:0046872"
"212","Zm00001d038883","GO:0016310"
"213","Zm00001d038883","GO:0016301"
"214","Zm00001d038883","GO:0006468"
"215","Zm00001d038883","GO:0005524"
"216","Zm00001d038883","GO:0004674"
"217","Zm00001d038883","GO:0004672"
"218","Zm00001d038883","GO:0000166"
"222","Zm00001d042098","GO:0016740"
"223","Zm00001d012322","GO:0004497"
"224","Zm00001d012322","GO:0055114"
"225","Zm00001d012322","GO:0016491"
"226","Zm00001d012322","GO:0020037"
"227","Zm00001d012322","GO:0016705"
"228","Zm00001d012322","GO:0005506"
"229","Zm00001d012322","GO:0046872"
"230","Zm00001d012322","GO:0055114"
"231","Zm00001d012322","GO:0020037"
"232","Zm00001d012322","GO:0016705"
"233","Zm00001d012322","GO:0005506"
"234","Zm00001d025141","GO:0003677"
"235","Zm00001d025141","GO:0046983"
"236","Zm00001d025141","GO:0003677"
"237","Zm00001d025141","GO:0046983"
"238","Zm00001d025141","GO:0003677"
"239","Zm00001d025141","GO:0046983"
"240","Zm00001d025141","GO:0003677"
"241","Zm00001d025141","GO:0046983"
"242","Zm00001d025901","GO:0016021"
"243","Zm00001d025901","GO:0016020"
"245","Zm00001d039531","GO:0043565"
"246","Zm00001d039531","GO:0005634"
"247","Zm00001d039531","GO:0006355"
"248","Zm00001d039531","GO:0006351"
"249","Zm00001d039531","GO:0003700"
"250","Zm00001d039531","GO:0003677"
"251","Zm00001d044387","GO:0016021"
"252","Zm00001d044387","GO:0016020"
"254","Zm00001d016719","GO:0016567"
"255","Zm00001d016719","GO:0004842"
"256","Zm00001d016719","GO:0016740"
"257","Zm00001d051501","GO:0016021"
"258","Zm00001d051501","GO:0016020"
"259","Zm00001d018184","GO:0055114"
"260","Zm00001d018184","GO:0016491"
"261","Zm00001d018184","GO:0046872"
"262","Zm00001d043728","GO:0016021"
"263","Zm00001d043728","GO:0016020"
"264","Zm00001d043728","GO:0016021"
"265","Zm00001d043728","GO:0016020"
"266","Zm00001d043728","GO:0046983"
"268","Zm00001d025707","GO:0008270"
"269","Zm00001d025707","GO:0005634"
"270","Zm00001d025707","GO:0006355"
"271","Zm00001d025707","GO:0003712"
"272","Zm00001d025707","GO:0004402"
"273","Zm00001d025707","GO:0016573"
"274","Zm00001d002707","GO:0016758"
"275","Zm00001d002707","GO:0008152"
"276","Zm00001d002707","GO:0016757"
"277","Zm00001d002707","GO:0016740"
"278","Zm00001d050689","GO:0016567"
"279","Zm00001d050689","GO:0004842"
"280","Zm00001d050689","GO:0016740"
"281","Zm00001d051468","GO:0046872"
"282","Zm00001d051468","GO:0008270"
"283","Zm00001d027947","GO:0019752"
"284","Zm00001d027947","GO:0016831"
"285","Zm00001d027947","GO:0016829"
"286","Zm00001d027947","GO:0006520"
"287","Zm00001d027947","GO:0030170"
"288","Zm00001d027947","GO:0003824"
"289","Zm00001d048417","GO:0071949"
"290","Zm00001d012321","GO:0006952"
"291","Zm00001d012321","GO:0020037"
"292","Zm00001d012321","GO:0046872"
"293","Zm00001d012321","GO:0019441"
"294","Zm00001d053916","GO:0016829"
"295","Zm00001d053916","GO:0010333"
"296","Zm00001d053916","GO:0008152"
"297","Zm00001d053916","GO:0016829"
"298","Zm00001d053916","GO:0010333"
"299","Zm00001d053916","GO:0000287"
"300","Zm00001d053916","GO:0008152"
"301","Zm00001d053916","GO:0046872"
"302","Zm00001d017706","GO:0008270"
"303","Zm00001d017706","GO:0008270"
"304","Zm00001d042099","GO:0016740"
"305","Zm00001d009328","GO:0016757"
"306","Zm00001d009328","GO:0016740"
"307","Zm00001d009328","GO:0016021"
"308","Zm00001d009328","GO:0016020"
"309","Zm00001d016098","GO:0016021"
"310","Zm00001d016098","GO:0016020"
"311","Zm00001d016098","GO:0016021"
"312","Zm00001d016098","GO:0016020"
"313","Zm00001d041584","GO:0043531"
"314","Zm00001d004578","GO:0009733"
"315","Zm00001d016401","GO:0016021"
"316","Zm00001d016401","GO:0016020"
"317","Zm00001d007745","GO:0030247"
"318","Zm00001d007745","GO:0016310"
"319","Zm00001d007745","GO:0016301"
"320","Zm00001d007745","GO:0006468"
"321","Zm00001d007745","GO:0004672"
"322","Zm00001d007745","GO:0005509"
"323","Zm00001d007745","GO:0005524"
"324","Zm00001d007745","GO:0016021"
"325","Zm00001d007745","GO:0016020"
"326","Zm00001d039011","GO:0009055"
"327","Zm00001d039011","GO:0005623"
"328","Zm00001d039011","GO:0055114"
"329","Zm00001d039011","GO:0045454"
"330","Zm00001d039011","GO:0015035"
"331","Zm00001d039011","GO:0022900"
"332","Zm00001d017276","GO:0009698"
"333","Zm00001d017276","GO:0006559"
"334","Zm00001d017276","GO:0045548"
"335","Zm00001d017276","GO:0016841"
"336","Zm00001d017276","GO:0016829"
"337","Zm00001d017276","GO:0005737"
"338","Zm00001d017276","GO:0003824"
"339","Zm00001d017276","GO:0009800"
"340","Zm00001d017276","GO:0009698"
"341","Zm00001d017276","GO:0006559"
"342","Zm00001d017276","GO:0045548"
"343","Zm00001d017276","GO:0016841"
"344","Zm00001d017276","GO:0016829"
"345","Zm00001d017276","GO:0005737"
"346","Zm00001d017276","GO:0003824"
"347","Zm00001d017276","GO:0009800"
"349","Zm00001d018191","GO:0005634"
"350","Zm00001d018191","GO:0006355"
"351","Zm00001d018191","GO:0006351"
"352","Zm00001d018191","GO:0003700"
"353","Zm00001d018191","GO:0003677"
"354","Zm00001d009106","GO:0016021"
"355","Zm00001d009106","GO:0016020"
"357","Zm00001d023625","GO:0004497"
"358","Zm00001d023625","GO:0055114"
"359","Zm00001d023625","GO:0016491"
"360","Zm00001d023625","GO:0020037"
"361","Zm00001d023625","GO:0016705"
"362","Zm00001d023625","GO:0005506"
"363","Zm00001d023625","GO:0046872"
"364","Zm00001d053746","GO:0043565"
"365","Zm00001d053746","GO:0005634"
"366","Zm00001d053746","GO:0006355"
"367","Zm00001d053746","GO:0006351"
"368","Zm00001d053746","GO:0003700"
"369","Zm00001d053746","GO:0003677"
"370","Zm00001d007027","GO:0016874"
"372","Zm00001d048357","GO:0016310"
"373","Zm00001d048357","GO:0016301"
"374","Zm00001d048357","GO:0006468"
"375","Zm00001d048357","GO:0005524"
"376","Zm00001d048357","GO:0004674"
"377","Zm00001d048357","GO:0004672"
"378","Zm00001d048357","GO:0000166"
"379","Zm00001d048357","GO:0016740"
"380","Zm00001d048357","GO:0016021"
"381","Zm00001d048357","GO:0016020"
"387","Zm00001d005570","GO:0005819"
"388","Zm00001d005570","GO:0060236"
"389","Zm00001d005570","GO:0032147"
"390","Zm00001d005570","GO:0005874"
"391","Zm00001d003538","GO:0016021"
"392","Zm00001d003538","GO:0016020"
"394","Zm00001d033066","GO:0071805"
"395","Zm00001d033066","GO:0015079"
"396","Zm00001d033066","GO:0016020"
"397","Zm00001d033066","GO:0016021"
"398","Zm00001d035865","GO:0016747"
"399","Zm00001d035865","GO:0016740"
"400","Zm00001d011425","GO:0004185"
"401","Zm00001d011425","GO:0004180"
"402","Zm00001d011425","GO:0006508"
"403","Zm00001d011425","GO:0008233"
"404","Zm00001d011425","GO:0016787"
"405","Zm00001d033957","GO:0003677"
"406","Zm00001d033957","GO:0046983"
"407","Zm00001d033957","GO:0005634"
"408","Zm00001d033957","GO:0003677"
"409","Zm00001d033957","GO:0046983"
"410","Zm00001d033957","GO:0004190"
"411","Zm00001d033957","GO:0006508"
"412","Zm00001d033957","GO:0005634"
"413","Zm00001d033957","GO:0003677"
"414","Zm00001d033957","GO:0004190"
"415","Zm00001d033957","GO:0006508"
"416","Zm00001d033957","GO:0003677"
"417","Zm00001d033957","GO:0003677"
"418","Zm00001d024207","GO:0016829"
"419","Zm00001d024207","GO:0010333"
"420","Zm00001d024207","GO:0000287"
"421","Zm00001d024207","GO:0008152"
"422","Zm00001d024207","GO:0016829"
"423","Zm00001d024207","GO:0006952"
"424","Zm00001d024207","GO:0010333"
"425","Zm00001d024207","GO:0016853"
"426","Zm00001d024207","GO:0000287"
"427","Zm00001d024207","GO:0005737"
"428","Zm00001d024207","GO:0008152"
"429","Zm00001d024207","GO:0046872"
"430","Zm00001d024207","GO:0016114"
"431","Zm00001d024207","GO:0016829"
"432","Zm00001d024207","GO:0010333"
"433","Zm00001d024207","GO:0000287"
"434","Zm00001d024207","GO:0008152"
"435","Zm00001d024207","GO:0016021"
"436","Zm00001d024207","GO:0016020"
"437","Zm00001d024207","GO:0016829"
"438","Zm00001d024207","GO:0010333"
"439","Zm00001d024207","GO:0000287"
"440","Zm00001d024207","GO:0008152"
"441","Zm00001d024207","GO:0046872"
"442","Zm00001d024207","GO:0016829"
"443","Zm00001d024207","GO:0006952"
"444","Zm00001d024207","GO:0010333"
"445","Zm00001d024207","GO:0016853"
"446","Zm00001d024207","GO:0000287"
"447","Zm00001d024207","GO:0005737"
"448","Zm00001d024207","GO:0008152"
"449","Zm00001d024207","GO:0046872"
"450","Zm00001d024207","GO:0016021"
"451","Zm00001d024207","GO:0016020"
"452","Zm00001d024207","GO:0016114"
"453","Zm00001d024207","GO:0016829"
"454","Zm00001d024207","GO:0006952"
"455","Zm00001d024207","GO:0010333"
"456","Zm00001d024207","GO:0016853"
"457","Zm00001d024207","GO:0000287"
"458","Zm00001d024207","GO:0005737"
"459","Zm00001d024207","GO:0008152"
"460","Zm00001d024207","GO:0046872"
"461","Zm00001d024207","GO:0016021"
"462","Zm00001d024207","GO:0016020"
"463","Zm00001d024207","GO:0016114"
"464","Zm00001d024207","GO:0016829"
"465","Zm00001d024207","GO:0006952"
"466","Zm00001d024207","GO:0010333"
"467","Zm00001d024207","GO:0016853"
"468","Zm00001d024207","GO:0000287"
"469","Zm00001d024207","GO:0005737"
"470","Zm00001d024207","GO:0008152"
"471","Zm00001d024207","GO:0046872"
"472","Zm00001d024207","GO:0016021"
"473","Zm00001d024207","GO:0016020"
"474","Zm00001d024207","GO:0016114"
"475","Zm00001d024207","GO:0016829"
"476","Zm00001d024207","GO:0006952"
"477","Zm00001d024207","GO:0010333"
"478","Zm00001d024207","GO:0016853"
"479","Zm00001d024207","GO:0000287"
"480","Zm00001d024207","GO:0005737"
"481","Zm00001d024207","GO:0008152"
"482","Zm00001d024207","GO:0046872"
"483","Zm00001d024207","GO:0016021"
"484","Zm00001d024207","GO:0016020"
"485","Zm00001d024207","GO:0016114"
"487","Zm00001d034642","GO:0003676"
"490","Zm00001d024522","GO:0003677"
"491","Zm00001d024522","GO:0046983"
"493","Zm00001d035304","GO:0046872"
"494","Zm00001d035304","GO:0046872"
"495","Zm00001d037715","GO:0016021"
"496","Zm00001d037715","GO:0016020"
"497","Zm00001d027948","GO:0016747"
"498","Zm00001d027948","GO:0016740"
"500","Zm00001d009985","GO:0005509"
"504","Zm00001d014491","GO:0005509"
"506","Zm00001d014945","GO:0019752"
"507","Zm00001d014945","GO:0016616"
"508","Zm00001d014945","GO:0005975"
"509","Zm00001d014945","GO:0005737"
"510","Zm00001d014945","GO:0055114"
"511","Zm00001d014945","GO:0016491"
"512","Zm00001d014945","GO:0003824"
"513","Zm00001d014945","GO:0004459"
"514","Zm00001d014945","GO:0019752"
"515","Zm00001d014945","GO:0016616"
"516","Zm00001d014945","GO:0005975"
"517","Zm00001d014945","GO:0005737"
"518","Zm00001d014945","GO:0055114"
"519","Zm00001d014945","GO:0016491"
"520","Zm00001d014945","GO:0003824"
"521","Zm00001d014945","GO:0004459"
"522","Zm00001d014945","GO:0019752"
"523","Zm00001d014945","GO:0016616"
"524","Zm00001d014945","GO:0005975"
"525","Zm00001d014945","GO:0005737"
"526","Zm00001d014945","GO:0055114"
"527","Zm00001d014945","GO:0016491"
"528","Zm00001d014945","GO:0003824"
"529","Zm00001d014945","GO:0004459"
"530","Zm00001d014945","GO:0019752"
"531","Zm00001d014945","GO:0016616"
"532","Zm00001d014945","GO:0005975"
"533","Zm00001d014945","GO:0005737"
"534","Zm00001d014945","GO:0055114"
"535","Zm00001d014945","GO:0016491"
"536","Zm00001d014945","GO:0003824"
"537","Zm00001d014945","GO:0004459"
"538","Zm00001d039946","GO:0005975"
"539","Zm00001d039946","GO:0004553"
"540","Zm00001d039946","GO:0016787"
"541","Zm00001d039946","GO:0045493"
"542","Zm00001d002068","GO:0016310"
"543","Zm00001d002068","GO:0016301"
"544","Zm00001d002068","GO:0006468"
"545","Zm00001d002068","GO:0004672"
"546","Zm00001d002068","GO:0005524"
"547","Zm00001d002068","GO:0016021"
"548","Zm00001d002068","GO:0016020"
"549","Zm00001d003784","GO:0005975"
"550","Zm00001d003784","GO:0004553"
"551","Zm00001d003784","GO:0016787"
"552","Zm00001d047845","GO:0008152"
"553","Zm00001d047845","GO:0005975"
"554","Zm00001d047845","GO:0016798"
"555","Zm00001d047845","GO:0004553"
"556","Zm00001d047845","GO:0016787"
"557","Zm00001d016947","GO:0016021"
"558","Zm00001d016947","GO:0016020"
"559","Zm00001d028406","GO:0006633"
"560","Zm00001d028406","GO:0016746"
"561","Zm00001d028406","GO:0016747"
"562","Zm00001d028406","GO:0008152"
"563","Zm00001d028406","GO:0016020"
"564","Zm00001d028406","GO:0016740"
"565","Zm00001d028406","GO:0016021"
"566","Zm00001d028406","GO:0003824"
"567","Zm00001d028406","GO:0006633"
"568","Zm00001d028406","GO:0016746"
"569","Zm00001d028406","GO:0016747"
"570","Zm00001d028406","GO:0008152"
"571","Zm00001d028406","GO:0016020"
"572","Zm00001d028406","GO:0016740"
"573","Zm00001d028406","GO:0016021"
"574","Zm00001d028406","GO:0003824"
"575","Zm00001d049244","GO:0051087"
"576","Zm00001d026657","GO:0003676"
"577","Zm00001d024630","GO:0003677"
"578","Zm00001d024630","GO:0003677"
"579","Zm00001d024630","GO:0045893"
"580","Zm00001d024630","GO:1901430"
"581","Zm00001d024630","GO:2000652"
"582","Zm00001d024630","GO:0005634"
"583","Zm00001d024630","GO:0003677"
"584","Zm00001d014134","GO:0004497"
"585","Zm00001d014134","GO:0055114"
"586","Zm00001d014134","GO:0016491"
"587","Zm00001d014134","GO:0020037"
"588","Zm00001d014134","GO:0016705"
"589","Zm00001d014134","GO:0005506"
"590","Zm00001d014134","GO:0046872"
"591","Zm00001d002342","GO:0004650"
"592","Zm00001d002342","GO:0009556"
"593","Zm00001d002342","GO:0010584"
"594","Zm00001d043258","GO:0005509"
"598","Zm00001d052530","GO:0055114"
"599","Zm00001d052530","GO:0020037"
"600","Zm00001d052530","GO:0016705"
"601","Zm00001d052530","GO:0005506"
"602","Zm00001d052530","GO:0016021"
"603","Zm00001d052530","GO:0016020"
"605","Zm00001d053234","GO:0006855"
"606","Zm00001d053234","GO:0015297"
"607","Zm00001d053234","GO:0015238"
"608","Zm00001d053234","GO:0055085"
"609","Zm00001d053234","GO:0016020"
"610","Zm00001d053234","GO:0016021"
"611","Zm00001d046346","GO:0003677"
"612","Zm00001d046346","GO:0046983"
"614","Zm00001d021207","GO:0005634"
"615","Zm00001d021207","GO:0006355"
"616","Zm00001d021207","GO:0006351"
"617","Zm00001d021207","GO:0003700"
"618","Zm00001d021207","GO:0003677"
"619","Zm00001d043663","GO:0043565"
"620","Zm00001d043663","GO:0005634"
"621","Zm00001d043663","GO:0006355"
"622","Zm00001d043663","GO:0006351"
"623","Zm00001d043663","GO:0003700"
"624","Zm00001d043663","GO:0003677"
"625","Zm00001d036927","GO:0042626"
"626","Zm00001d036927","GO:0016887"
"627","Zm00001d036927","GO:0055085"
"628","Zm00001d036927","GO:0005524"
"629","Zm00001d036927","GO:0000166"
"630","Zm00001d036927","GO:0016021"
"631","Zm00001d036927","GO:0016020"
"632","Zm00001d036927","GO:0042626"
"633","Zm00001d036927","GO:0016887"
"634","Zm00001d036927","GO:0055085"
"635","Zm00001d036927","GO:0005524"
"636","Zm00001d036927","GO:0000166"
"637","Zm00001d036927","GO:0016021"
"638","Zm00001d036927","GO:0016020"
"639","Zm00001d016471","GO:0004497"
"640","Zm00001d016471","GO:0055114"
"641","Zm00001d016471","GO:0016491"
"642","Zm00001d016471","GO:0020037"
"643","Zm00001d016471","GO:0016705"
"644","Zm00001d016471","GO:0005506"
"645","Zm00001d016471","GO:0046872"
"647","Zm00001d003598","GO:0005622"
"648","Zm00001d003598","GO:0000160"
"651","Zm00001d003598","GO:0005622"
"652","Zm00001d003598","GO:0000160"
"653","Zm00001d003598","GO:0005622"
"654","Zm00001d003598","GO:0000160"
"655","Zm00001d003598","GO:0005622"
"656","Zm00001d003598","GO:0000160"
"657","Zm00001d045463","GO:0005634"
"658","Zm00001d045463","GO:0006355"
"659","Zm00001d045463","GO:0006351"
"660","Zm00001d045463","GO:0003677"
"662","Zm00001d045463","GO:0005634"
"663","Zm00001d045463","GO:0006355"
"664","Zm00001d045463","GO:0006351"
"665","Zm00001d045463","GO:0003677"
"667","Zm00001d002434","GO:0070469"
"668","Zm00001d002434","GO:0009916"
"669","Zm00001d002434","GO:0055114"
"670","Zm00001d002434","GO:0016491"
"671","Zm00001d002434","GO:0046872"
"672","Zm00001d002434","GO:0016021"
"673","Zm00001d002434","GO:0016020"
"674","Zm00001d002434","GO:0102721"
"676","Zm00001d032120","GO:0016021"
"677","Zm00001d032120","GO:0016020"
"679","Zm00001d040028","GO:0005576"
"680","Zm00001d040028","GO:0010951"
"681","Zm00001d040028","GO:0004867"
"682","Zm00001d039944","GO:0005509"
"683","Zm00001d036256","GO:0006629"
"684","Zm00001d036256","GO:0016787"
"686","Zm00001d002999","GO:0051213"
"687","Zm00001d002999","GO:0055114"
"688","Zm00001d002999","GO:0016491"
"689","Zm00001d002999","GO:0046872"
"690","Zm00001d028574","GO:0006470"
"691","Zm00001d028574","GO:0043169"
"692","Zm00001d028574","GO:0016787"
"693","Zm00001d028574","GO:0004722"
"694","Zm00001d028574","GO:0004721"
"695","Zm00001d028574","GO:0046872"
"696","Zm00001d028574","GO:0003824"
"697","Zm00001d028574","GO:0006470"
"698","Zm00001d028574","GO:0043169"
"699","Zm00001d028574","GO:0016787"
"700","Zm00001d028574","GO:0004722"
"701","Zm00001d028574","GO:0004721"
"702","Zm00001d028574","GO:0046872"
"703","Zm00001d028574","GO:0003824"
"704","Zm00001d037228","GO:0055085"
"705","Zm00001d037228","GO:0016020"
"706","Zm00001d037228","GO:0016021"
"707","Zm00001d037228","GO:0015267"
"708","Zm00001d037228","GO:0055085"
"709","Zm00001d037228","GO:0016020"
"710","Zm00001d037228","GO:0016021"
"711","Zm00001d037228","GO:0015267"
"712","Zm00001d051334","GO:0016747"
"713","Zm00001d051334","GO:0016740"
"714","Zm00001d038371","GO:0048046"
"715","Zm00001d038371","GO:0005576"
"716","Zm00001d038371","GO:0005507"
"717","Zm00001d038371","GO:0055114"
"718","Zm00001d038371","GO:0016491"
"719","Zm00001d038371","GO:0046872"
"720","Zm00001d038371","GO:0052716"
"721","Zm00001d038371","GO:0046274"
"722","Zm00001d038371","GO:0048046"
"723","Zm00001d038371","GO:0005576"
"724","Zm00001d038371","GO:0005507"
"725","Zm00001d038371","GO:0055114"
"726","Zm00001d038371","GO:0016491"
"727","Zm00001d038371","GO:0046872"
"728","Zm00001d038371","GO:0052716"
"729","Zm00001d038371","GO:0046274"
"730","Zm00001d038371","GO:0048046"
"731","Zm00001d038371","GO:0005576"
"732","Zm00001d038371","GO:0005507"
"733","Zm00001d038371","GO:0055114"
"734","Zm00001d038371","GO:0016491"
"735","Zm00001d038371","GO:0046872"
"736","Zm00001d038371","GO:0052716"
"737","Zm00001d038371","GO:0046274"
"738","Zm00001d052827","GO:0008168"
"739","Zm00001d052827","GO:0032259"
"740","Zm00001d052827","GO:0016740"
"741","Zm00001d029970","GO:0000079"
"742","Zm00001d029970","GO:0019901"
"744","Zm00001d036003","GO:0005634"
"745","Zm00001d036003","GO:0006355"
"746","Zm00001d036003","GO:0006351"
"747","Zm00001d036003","GO:0003700"
"748","Zm00001d036003","GO:0003677"
"749","Zm00001d043729","GO:0003677"
"751","Zm00001d012212","GO:0055114"
"752","Zm00001d012212","GO:0016491"
"753","Zm00001d012212","GO:0046872"
"756","Zm00001d016457","GO:0043565"
"757","Zm00001d016457","GO:0005634"
"758","Zm00001d016457","GO:0006355"
"759","Zm00001d016457","GO:0006351"
"760","Zm00001d016457","GO:0003700"
"761","Zm00001d016457","GO:0003677"
"764","Zm00001d002620","GO:0005634"
"765","Zm00001d002620","GO:0006355"
"766","Zm00001d002620","GO:0006351"
"767","Zm00001d002620","GO:0003700"
